Label,Train Count,Eval Count,Test Count,RF_all_features,RF_tuned_all_features,RF_14_features,RF_tuned_14_features,RF_tuned_perm_features,XGB_all_features,XGB_tuned_all_features,XGB_14_features,XGB_tuned_14_features,XGB_tuned_perm_features,XGB_tuned_rfecv_features,RF_all_features_Failures,RF_tuned_all_features_Failures,RF_14_features_Failures,RF_tuned_14_features_Failures,RF_tuned_perm_features_Failures,XGB_all_features_Failures,XGB_tuned_all_features_Failures,XGB_14_features_Failures,XGB_tuned_14_features_Failures,XGB_tuned_perm_features_Failures,XGB_tuned_rfecv_features_Failures
Benign,30000,25518,25432,,,,,,,,,,,,,,,,,,,,,,
Attack,30000,4482,4568,,,,,,,,,,,,,,,,,,,,,,
DoS Hulk,14004,2304,2322,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.02,0.02,0.02,9.0,13.0,34.0,28.0,33.0,3.0,3.0,49.0,39.0,43.0,39.0
DDoS,10233,1703,1732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
SSH-Patator,1288,34,48,0.0,0.0,0.1,0.1,0.12,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,5.0,5.0,6.0,0.0,0.0,5.0,5.0,5.0,5.0
DoS GoldenEye,839,133,139,0.01,0.01,0.03,0.04,0.04,0.0,0.0,0.03,0.03,0.04,0.03,1.0,1.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,6.0,4.0
PortScan,782,23,30,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Web Attack � Brute Force,588,23,22,0.05,0.05,0.36,0.36,0.32,0.0,0.0,0.91,0.41,0.64,0.41,1.0,1.0,8.0,8.0,7.0,0.0,0.0,20.0,9.0,14.0,9.0
Bot,575,30,27,0.19,0.26,0.3,0.3,0.3,0.11,0.11,0.3,0.33,0.33,0.33,5.0,7.0,8.0,8.0,8.0,3.0,3.0,8.0,9.0,9.0,9.0
FTP-Patator,521,74,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoS slowloris,445,67,71,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
DoS Slowhttptest,436,66,68,0.03,0.03,0.04,0.04,0.03,0.0,0.01,0.03,0.03,0.03,0.03,2.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0
Web Attack � XSS,261,5,13,0.0,0.0,0.23,0.23,0.23,0.0,0.0,1.0,0.62,0.77,0.62,0.0,0.0,3.0,3.0,3.0,0.0,0.0,13.0,8.0,10.0,8.0
Infiltration,14,12,10,0.2,0.3,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.1,0.2,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0
Web Attack � Sql Injection,9,6,6,0.17,0.33,1.0,1.0,1.0,0.0,0.17,0.83,0.83,1.0,0.83,1.0,2.0,6.0,6.0,6.0,0.0,1.0,5.0,5.0,6.0,5.0
Heartbleed,5,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
