model,split,threshold,accuracy,precision,recall,f1,f2,roc_auc,beta
Dummy_Classifier,train,0.0,0.5,0.5,1.0,0.6666666666666666,0.8333333333333334,0.5,2
Dummy_Classifier,val,0.0,0.1494,0.1494,1.0,0.25996171915782146,0.4675763645468203,0.5,2
Baseline_log_reg,train,0.41579437231348837,0.8816666666666667,0.8533950617283951,0.9216666666666666,0.8862179487179487,0.9071522309711285,0.9402432194444443,2
Baseline_log_reg,val,0.4168923594721036,0.8641333333333333,0.5246538741802284,0.963855421686747,0.6794589493551432,0.8256249522207783,0.95890934570199,2
Baseline_SVM,train,0.27707311630169623,0.8334,0.7624783498661628,0.9685,0.8532287904149414,0.9188455846077949,0.9456475833333333,2
Baseline_SVM,val,0.31904278697529254,0.9179333333333334,0.6576154806491885,0.9402052655064703,0.773921028466483,0.8657955292570676,0.9632027382373938,2
Baseline_KNN,train,0.3,0.9502,0.9114672191079698,0.9972666666666666,0.9524385585126703,0.9788384023451815,0.9626430788888889,2
Baseline_KNN,val,0.7,0.9251666666666667,0.6699073370803585,0.9839357429718876,0.7971079981924989,0.8995960997103342,0.9595716687757554,2
Baseline_RF,train,0.3926169355657465,0.99375,0.996780360197203,0.9907,0.9937308791815036,0.991910130359038,0.9995489944444444,2
Baseline_RF,val,0.78,0.9928333333333333,0.9645112127150011,0.9883980365908077,0.9763085399449036,0.9835264863904801,0.9978802400342547,2
Tuned_RF,train,0.2893092301653323,0.99,0.9885668705131614,0.9914666666666667,0.990014645187059,0.9908853472629391,0.9994712388888889,2
Tuned_RF,val,0.6297479019415406,0.9922,0.9585492227979274,0.9906291834002677,0.9743252139565504,0.9840425531914891,0.9989954680737562,2
Baseline_XGB,train,0.23551571369171143,0.9877833333333333,0.9841521918941274,0.9915333333333334,0.9878289746782898,0.9900482609419203,0.9993177322222223,2
Baseline_XGB,val,0.8775783181190491,0.9954666666666667,0.986565158978952,0.9830432842481035,0.9848010728654448,0.9837456461552202,0.9994251286481104,2
Tuned_XGB,train,0.18903705477714539,0.9877333333333334,0.983414827540637,0.9922,0.9877878807990974,0.9904304309633455,0.9993873827777777,2
Tuned_XGB,val,0.7831016778945923,0.9930666666666667,0.9657802964254577,0.9886211512717537,0.9770672546857773,0.9839669568306981,0.9993298340753528,2
